Filesystem                        Type     Size  Used Avail Use% Mounted on
overlay                           overlay  1.8T   40G  1.6T   3% /
proc                              proc        0     0     0    - /proc
tmpfs                             tmpfs     64M     0   64M   0% /dev
devpts                            devpts      0     0     0    - /dev/pts
sysfs                             sysfs       0     0     0    - /sys
tmpfs                             tmpfs    189G     0  189G   0% /sys/fs/cgroup
cgroup                            cgroup      0     0     0    - /sys/fs/cgroup/systemd
cgroup                            cgroup      0     0     0    - /sys/fs/cgroup/net_cls,net_prio
cgroup                            cgroup      0     0     0    - /sys/fs/cgroup/blkio
cgroup                            cgroup      0     0     0    - /sys/fs/cgroup/cpuset
cgroup                            cgroup      0     0     0    - /sys/fs/cgroup/memory
cgroup                            cgroup      0     0     0    - /sys/fs/cgroup/rdma
cgroup                            cgroup      0     0     0    - /sys/fs/cgroup/pids
cgroup                            cgroup      0     0     0    - /sys/fs/cgroup/devices
cgroup                            cgroup      0     0     0    - /sys/fs/cgroup/cpu,cpuacct
cgroup                            cgroup      0     0     0    - /sys/fs/cgroup/perf_event
cgroup                            cgroup      0     0     0    - /sys/fs/cgroup/hugetlb
cgroup                            cgroup      0     0     0    - /sys/fs/cgroup/freezer
mqueue                            mqueue      0     0     0    - /dev/mqueue
/dev/mapper/ubuntu--vg-ubuntu--lv ext4     1.8T   40G  1.6T   3% /etc/resolv.conf
/dev/mapper/ubuntu--vg-ubuntu--lv ext4     1.8T   40G  1.6T   3% /etc/hostname
/dev/mapper/ubuntu--vg-ubuntu--lv ext4     1.8T   40G  1.6T   3% /etc/hosts
shm                               tmpfs     64M     0   64M   0% /dev/shm
devpts                            devpts      0     0     0    - /dev/console
